Recall Number,Product Safety Warning Number,Date,Product Safety Warning Date,Recall Heading,Name of product,Description,Hazard Description,Consumer Action,Original Product Safety Warning Announcement,Remedy Type,Units,Incidents,Remedy,Sold At Label,Sold At,Importers,Manufacturers,Distributors,Manufactured In,Custom Label,Custom Field
26-717,,27-Aug-26,,Conair Expands Recall of Cuisinart Grill Brushes Due to Ingestion Hazard; Over 3.6 Million Brushes Now Recalled,Metal Wire Bristle Grill Brushes,"This recall expansion involves Cuisinart metal wire bristle grill brushes. The brushes have black plastic, stainless steel, and wood handles.&nbsp;The following model numbers were previously recalled and can be found on the product packaging: CCB-100, CCB-4125, CCB-5014, CCB-6450, CCB-8012, CCB-4114, CCB-W2, and CSBS-777. The following model numbers are part of this recall expansion: CGWM-024, CGWM-059, FCB-501, CGS-W18, CCB-134, CGWM-061, CB-395, CCB-3001, CGWM-077, CGWM-058, CCB-012/021, CGWM-060, and FBH-51.&nbsp;In addition to the identified models, additional Cuisinart brand wire bristle brushes were sold individually and in sets, prior to 2020. All Cuisinart wire bristle grill brushes are included in the recall.The word “Cuisinart” is stamped on the brush handle of the identified models except FCB-501 and CCB-395, where the handle is not stamped. Some of the recalled brushes were also sold as part of the Premium Grill 10 Piece set (CGS-2010), 13 Piece Wooden Handle Grill Tool Set (CGS-W13), 14 Piece Deluxe Stainless Steel Grill Set (CGS-5014), and 20 Piece Deluxe Grill Set, (CGS-5020).The model numbers listed below are part of this recall:Model No.Brush DescriptionBrush PhotographDistribution DatesCCB-100Triple Bristle Grill Cleaning BrushJanuary 2013-March 2026CCB-41254-in-1 Grill Cleaning Brush with Stainless Steel Wire BristlesOctober 2022-March 2026CCB-5014BBQ Grill Cleaning Brush and Scraper, 16.5"" Stainless SteelJune 2009-March 2026CCB-6450Tripple Bristle Grill Brush SS Bristles&nbsp;January 2025-March 2026CCB-80122-In-1 Grill Brush Bristle/Coil&nbsp;January 2025-March 2026CCB-4114Pizza Stone Cleaning Brush&nbsp;2024CCB-W2Wood Grill Cleaning Brush (18.5"" with Pakka Wood Handle)&nbsp;&nbsp;&nbsp;&nbsp;March 2024-July 2025CSBS-777Steam Clean Grill BrushMarch 2014-July 2025CGWM-024Dual Grip Grill Brush2018-2026CGWM-05918"" Bamboo Cleaning Grill Brush2019-2026&nbsp;FCB-501Grill Dozer Steam Cleaning Grill Cleaning Tool2009-2026&nbsp;CGS-W1818-Piece Wooden Handle Grill Set2017-2026&nbsp;CCB-134Comfort Grill Cleaning Brush&nbsp; &nbsp;-&nbsp; (Colors: Black, Red, Green, Blue)2017-2026&nbsp;CGWM-06121"" Tri-Wire Grill Brush2020-2026&nbsp;CB-395Cross-Action Grill Cleaning Brush2014-2026 &nbsp;&nbsp;CCB-3001Triple Threat Grill Brush2019-2026&nbsp;CGWM-077Steam Cleaner Grill Brush2019-2026&nbsp;CGWM-0583-Piece Multi-Use Grill Cleaning SystemPrior to 2019CCB-012/021Tri-Wire 12”-Inch Grill Cleaning BrushPrior to 2019CGWM-06016” Wire Detailing Grill BrushPrior to 2019FBH-51Cleaning Brush ReplacementPrior to 2019","Small metal wire bristles can detach from the brushes and stick to the grill or food, posing an ingestion hazard and risk of serious internal injuries that could require surgery.",,,Refund,"About 1,905,805 additional brushes (Conair previously recalled 1,719,995 grill brushes in July 2026 for a total of 3,625,800)","Conair is aware of at least 54 reports and reviews where small wire bristles detached from the grill brushes, including three reports of consumers who swallowed metal bristles and sought medical treatment to remove the bristles from their digestive tract or throat.",Consumers should stop using the recalled grill brushes immediately and contact Conair for a full refund or a credit for use at Cuisinart.com for a full refund plus 20% of the cash refund amount. Consumers will be asked to discard the recalled grill brushes.,Sold At,"Walmart, Burlington, TJ Maxx and Ross and online including Amazon and Cuisinart.com from June 2009 through March 2026 for between $8 and $20.","Conair LLC of Stamford, Connecticut",,,China,,
26-716,,20-Aug-26,,CCM Hockey U.S. Recalls FMHVR Hybrid Visors and ACCHVR Replacement Visor Accessories Due to Risk of Injury from Laceration or Impact Hazards,FMHVR Hybrid Visors and ACCHVR Replacement Visor Accessories,"This recall involves the CCM Hybrid Hockey Visors, style FMHVR and replacement visor accessories, style ACCHVR. The recalled FMHVR Hybrid Visors are marked “HVR” at the top of the metal plate (above “CCM” in red). Recalled FMHVR visors have serial numbers beginning with “M/L” or “S/M.” The recalled ACCHVR Replacement Visor accessory has serial numbers beginning with “SR”. The serial number is printed at the top corner on the right- hand-side metal plate where HVR – CCM are written, inside of the visors, engraved into the polycarbonate. The following visor and visor accessories are included in the recall:&nbsp;Recalled Visors and Visor Accessories","The recalled hockey visors and replacement visor accessories can crack upon impact, posing a risk of injury due to laceration or impact hazards.",,,Replace,"About 12,957",None reported,"Consumers should stop using the recalled visors and visor accessories immediately and return the products to the nearest participating retailer for a free replacement. Consumers can choose from the FV1 full visor, FM780 combo cage, or FM580 combo cage. To find your nearest participating retailer, go to https://us.ccmhockey.com/product/storelocator. Consumers without access to a participating retailer should contact CCM directly and CCM will send a return prepaid envelope for the return of the recalled product. CCM will ship a replacement upon receipt of the returned recalled product.",Sold At,"Monkey Sports, Play It Again Sports, Pure Hockey and independent sporting goods and online at https://us.ccmhockey.com/ from May 2024 through April 2026 for about $120 for the Hybrid Visor and about $55 for the Replacement Visor accessories.","CCM Hockey U.S., Inc., of Maple Grove, Illinois",,,China,,
26-715,,20-Aug-26,,Workbless Pressure Washers Recalled Due to Risk of Serious Injury or Death from Shock and Electrocution Hazards,Workbless Electric Pressure Washers,"This recall involves Workbless-branded pressure washers, models WB0301 and WB0302. Model WB0301 is green and black and measures about 27.24 inches high, 10.83 inches wide and 8.39 inches deep. “WORKBLESS”, ""WB0301” and “ELECTRIC PRESSURE WASHER” are printed on a label on the back of the pressure washer. Model WB0302 is also green and black and measures about 29.57 inches high, 14.69 inches wide and 10.94 inches deep. “WORKBLESS”, “WB0302” and “HEAVY DUTY ELECTRIC PRESSURE WASHER” are printed on a label on the back of the pressure washer.&nbsp;&nbsp;Both models came with four quick connect nozzles and a foam cannon.","The recalled pressure washers lack an integral ground-fault circuit-interrupter (GFCI) and an adequate-length power cord, posing serious risks of injury or death from shock and electrocution hazards.",,,Refund,"About 2,200 (In addition, about 657 in Canada)",None reported,Consumers should stop using the recalled pressure washers immediately and contact&nbsp;Workbless for a full refund. Consumers will be asked to destroy the pressure washer by cutting the unplugged power cord in half and send a photo of the destroyed pressure washer to&nbsp;service@workbless.net.&nbsp;Consumers should then dispose of the destroyed recalled product.,Sold At,"Amazon.com, BestBuy, Kohls, Lowe’s, Overstock, Target and Walmart from April 2025 through July 2026 for between $97 and $140.",,,,China,Private Labeler:,"Guangzhou Ao Lian Ya Wang Luo Ke Ji You Xian Gong Si,&nbsp;dba&nbsp;Workbless, of China"
26-714,,20-Aug-26,,Koorlian Mattresses Recalled Due to Risk of Serious Injury or Death from Fire Hazard; Violate Mandatory Standard for Mattress Flammability; Sold on Amazon by Dream Bedding Technology,Koorlian Mattresses,This recall involves Koorlian branded mattresses. The mattresses are 10 inches thick and were sold in a Twin XL size. They have a white top and blue sides and were sold compressed in a box. “Dreams Bedding Technology PTE LTD” the manufacture date and prototype ID “KY15Q290” are printed on a sewn-in white label located on one side of the mattress.,"The recalled mattresses violate the mandatory flammability standard for https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">mattresses, posing a risk of serious injury or death from fire.",,,Repair,About 251,None reported,Consumers should stop using the recalled mattress immediately and contact Dreams Bedding Technology to receive a free cover to put over their mattress to bring it into compliance with the mandatory flammability standards.,Sold Online At,Amazon.com from November 2025 through March 2026 for between $110 and $170.,,"Dreams Bedding Technology PTE. Ltd., of Singapore",,Singapore,,
26-713,,20-Aug-26,,JINHEZO Mini Waterproof LED Tea Lights Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violate Mandatory Standard for Consumer Products with Button Cell Batteries; Imported by Mystic ZO,JINHEZO Mini Waterproof LED Tea Lights,This recall involves JINHEZO Mini Waterproof LED Tea Lights. The circular tea lights are clear with a white base and are about 1” in diameter and 1.14” tall. They come in a pack of 24 lights with 48 coin-cell batteries (two per light).,"The LED Tea Lights violate the mandatory safety standard for consumer products with button cell and coin batteries because the button batteries can be accessed easily by children, posing an ingestion hazard. Additionally, the packaging and product do not have the warnings required under https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN"">Reese’s Law. When button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns and death.",,,Refund,"About 2,798",None reported,"Consumers should stop using the recalled LED Tea Lights immediately and contact Mystic Zo for a full refund. To receive a refund, consumers will be asked to email their order number or bar code number, if available, along with a photo of the tea lights disposed of in the trash to jinhemaoyi2016@sina.com. &nbsp;Note: Button cell batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures. &nbsp;",Sold Online At,Amazon.com from March 2024 through July 2026 for between $16 to $20 per pack.,"Shenzhen Jinhe Trade Co., Ltd., dba Mystic ZO, of China",,,China,,
26-712,,20-Aug-26,,Goal Zero Recalls YETI 3000X Power Stations Due to Serious Risk of Injury from Fire and Burn Hazards,Goal Zero YETI 3000X Portable Power Stations,"This recall involves Goal Zero’s YETI 3000X power stations. The silver and black portable power stations measure about 24.4 inches high, 18.5 inches wide and 22.3 inches deep, and weigh about 92 pounds. The power stations have yellow handles and a digital display at the front with electrical ports. They sit on a rolling cart with two built-in wheels and a telescoping handle. The Goal Zero logo is printed on the front bar of the cart and on a nameplate located on the underside of the station’s lid along with “YETI 3000X”.","The recalled power station’s circuit board can overheat, posing a risk of serious injury from fire and burn hazards.",,,Repair,"About 46,200","Goal Zero has received four reports of the power stations catching fire, overheating and smoking. No injuries have been reported.",Consumers should stop using the power stations immediately and install the free repair in the form of a firmware update available through the Goal Zero application or contact Goal Zero for firmware installation at no cost.,Sold At,"REI stores nationwide and online at Costco.com, Backcountry.com, Goalzero.com and other online retailers from May 2020 through August 2025 for about $3,000.","Goal Zero, of Draper, Utah",,,China,,
26-711,,20-Aug-26,,Modine Manufacturing Company Recalls Airedale Heating and Cooling Ventilation Fans Due to Fire Hazard,Ventilation Fans in ClassMate® DX Cooling and Air Source Heat Pumps and SchoolMate® Water/Ground Source Heat Pumps,"This recall involves ventilation fans in ClassMate cooling and air source heat pumps and SchoolMate water/ground source heat pumps that supply heating, cooling and high indoor air quality in classrooms and schools in the following models:ModelVentilation Configuration (Digit 9)CMDC, D, or ECMPC, D, or ESMGH, J, K, N, or PSMWH, J, K, N, or PCMSH, J, K, N, or PThe brand name Airedale is located on a sticker on the front of the unit. The model name and serial number are found on the serial plate on the underside of the control unit.","The ventilation fan motor in the heat pumps can short circuit if water gets on the circuit board, causing the units to overheat and posing a fire hazard.",,,Repair,"About 6,061 (In addition, about 735 were sold in Canada)","Modine has received 11 reports of incidents that resulted in fires, totaling at least $2.7 million in property damage.  No injuries have been reported.",Consumers should stop using the recalled heat pumps immediately and contact Modine Manufacturing Company for written instructions to unplug the recalled ventilation fan or to switch the internal disconnect in the fan to the “off” position. Consumers should contact their Modine distributor to arrange for their free inspection and service. Service technicians will inspect and repair or replace the recalled heating and cooling OA/EA ventilation fans in all units.,Sold At,"Independent dealers nationwide from August 2013 through January 2026 for between $15,000 and $25,000. The ventilation fans are also sold separately through independent dealers for between $250 and $450.",,"Modine Manufacturing Company, of Racine, Wisconsin",,United States,,
26-710,,20-Aug-26,,KTM North America Recalls Off-Road Motorcycles Due to Risk of Serious Injury or Death from Crash Hazard,GASGAS and Husqvarna Off-Road Motorcycles,"This recall involves 2021, 2022, 2023 and 2024 off-road motorcycles. The GASGAS off-road motorcycles are red with the white GASGAS logo on both sides of the shrouds. The Husqvarna motorcycles are white, blue and yellow with the Husqvarna logo on both sides of the shrouds. The VIN and number are located on the right side of the steering head.Recalled 2021, 2022, 2023 and 2024 Off Road Motorcycles:&nbsp;Model Year&nbsp;Husqvarna Models&nbsp;Model Year&nbsp;GASGAS Model&nbsp;Model Year&nbsp;GASGAS Model&nbsp;2022&nbsp;FE 350&nbsp;2021&nbsp;EC 300&nbsp;2024&nbsp;EC 450F&nbsp;&nbsp;2022&nbsp;FE 501&nbsp;2022&nbsp;EC 250&nbsp;&nbsp;2024&nbsp;EX 250&nbsp;&nbsp;2022&nbsp;TE 150i&nbsp;&nbsp;2022&nbsp;EC 300&nbsp;&nbsp;2024&nbsp;EX 250F&nbsp;&nbsp;2022&nbsp;TE 250i&nbsp;2023&nbsp;EC 250&nbsp;&nbsp;2024&nbsp;EX 300&nbsp;&nbsp;2022&nbsp;TE 300i&nbsp;2023&nbsp;EC 300&nbsp;&nbsp;2024&nbsp;EX 350F&nbsp;&nbsp;2023&nbsp;TE 150&nbsp;2023&nbsp;EX 250&nbsp;&nbsp;2024&nbsp;EX 450F&nbsp;&nbsp;2023&nbsp;TE 250&nbsp;2023&nbsp;EX 250F&nbsp;&nbsp;2024&nbsp;EW 500F&nbsp;2023&nbsp;TE 300&nbsp;2023&nbsp;EX 300&nbsp;&nbsp;&nbsp;&nbsp;2023&nbsp;TE 300 Heritage&nbsp;2023&nbsp;EX 350F&nbsp;&nbsp;&nbsp;&nbsp;2023&nbsp;FX 350 Heritage&nbsp;2023&nbsp;EX 450F&nbsp;&nbsp;&nbsp;&nbsp;2023&nbsp;FX 350&nbsp;2023&nbsp;MC 125&nbsp;&nbsp;&nbsp;2023&nbsp;FE 450&nbsp;2023&nbsp;MC 250&nbsp;&nbsp;&nbsp;2023&nbsp;FE 450 Heritage&nbsp;2023&nbsp;MC 250F&nbsp;&nbsp;&nbsp;&nbsp;2023&nbsp;FX 450&nbsp;2023&nbsp;MC 350F&nbsp;&nbsp;&nbsp;&nbsp;2023&nbsp;TX 300&nbsp;2023&nbsp;MC 450F&nbsp;&nbsp;&nbsp;&nbsp;2023&nbsp;TX 300 Heritage&nbsp;2024&nbsp;MC 125&nbsp;&nbsp;&nbsp;&nbsp;2024&nbsp;TE 150&nbsp;2024&nbsp;MC 250&nbsp;&nbsp;&nbsp;2024&nbsp;TE 250&nbsp;2024&nbsp;MC 250F&nbsp;&nbsp;&nbsp;&nbsp;2024&nbsp;TE 300&nbsp;2024&nbsp;MC 350F&nbsp;&nbsp;&nbsp;2024&nbsp;FE 350w&nbsp;2024&nbsp;MC 450F&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;2024&nbsp;FE 450&nbsp;2024&nbsp;EC 250&nbsp;&nbsp;&nbsp;2024&nbsp;FE 501w&nbsp;2024&nbsp;EC 300&nbsp;&nbsp;&nbsp;&nbsp;","The rear brake caliper can crack or break, reducing the brake system’s effectiveness, posing a risk of serious injury or death due to crash hazard.",,,Repair,"About 21,040 (In addition, about 4,140 were sold in Canada) ",None reported,Consumers should stop riding the recalled motorcycles immediately and contact an authorized GASGAS or Husqvarna Motorcycle dealer to schedule a free repair at the dealership.,Sold At,"GASGAS and Husqvarna authorized dealers nationwide from September 2020 through June 2023 for between $7,300 and $13,000.","KTM North America Inc., of Amherst, Ohio",,,Austria,,
26-702,,13-Aug-26,,Hampton Bay Halwin 52-Inch Ceiling Fans Recalled Due to Impact and Injury Hazards; Manufactured by Youngo Limited,Hampton Bay Halwin 52-inch Indoor/Outdoor Ceiling Fans,"This recall involves Hampton Bay Halwin 52-inch Indoor/Outdoor Ceiling fans with model numbers AK396H-MBK and AK396H-BN. The recalled fans have an adjustable white LED light, come in a matte black or brushed nickel finish, and include a remote. UPCs “840059614922” or “840059615370” are located on the product packaging, the rating label located on the inside of fan mounting plate (same label as the serial number), and the warranty registration card packed with the Use and Care Guide.","The fan blades can separate from the fan motor flywheel, posing impact and injury hazards to consumers.",,,Refund,"About 9,460",Youngo has received 11 reports of incidents involving the fan blades breaking or separating from the fan motor flywheel. No injuries have been reported.,"Consumers should stop using the recalled ceiling fans immediately and contact Youngo for either a full refund by ACH payment or store credit in the form of a Home Depot gift card. To receive either option, consumers should contact Youngo with proof of purchase or a photograph of the serial number (located inside the mounting plate of the ceiling fan) and a photo showing proof of disposal of the product. Alternatively, consumers may return the product to a Home Depot retail store for full store credit in the form of a Home Depot gift card or refund back to the card used for purchase.&nbsp;",Sold Exclusively At,The Home Depot stores nationwide and online from January 2023 through October 2025 for about $180.,,"Youngo Limited, of Huizhou, China",,China,,
26-701,,13-Aug-26,,Sunnyside Corporation Recalls 1-K Kerosene Heater and Appliance Fuel Containers Due to Risk of Serious Injury or Death from Flash Fire and Burn Hazard; Violates Mandatory Standards for Portable Fuel Containers,Sunnyside gallon 1-K Kerosene Heater Fluid Portable Fuel Containers,This recall involves Sunnyside gallon 1-K Kerosene Heater and Appliance Fluid Portable Fuel Containers with batch number 26082. The bottles come in white plastic containers with white caps and have a multicolor label with the words “sunnyside” and “kerosene”. The container has labels on front and back and contains warning statements and distributor information.&nbsp; The batch number is located on the upper right front of bottle.&nbsp;,"The pre-filled fuel containers violate the mandatory safety standards of the https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">Portable Fuel Container Safety Act because they lack flame mitigation devices, posing a deadly risk of flash fire and burn hazard.",,,Refund,About 960  ,None reported,"Consumers should stop using the recalled fuel bottles immediately, place them out of reach of children, and contact Sunnyside for a full refund. Consumers will be asked to write “RECALLED” with permanent marker on the bottle; and submit a photo of it to info@sunnysidecorp.com. Consumers should dispose of the fuel bottles in accordance with local and state regulations.&nbsp;&nbsp;Note: Kerosene fuel is hazardous. Fuel containers should be disposed of or recycled by following local hazardous waste procedures.&nbsp;&nbsp;",Sold At,Amazon.com online and Do-It Best Hardware Stores from May 2026 through July 2026 for about $13.,,,"Sunnyside Corporation, of Wheeling, Illinois ",China,,
26-700,,13-Aug-26,,Fastbuy Recalls Zimtown Portable Gas and Fuel Cans Due to Risk of Serious Injury or Death from Burn Hazard and Child Poisoning; Violate Mandatory Standard for Portable Fuel Containers,Zimtown Portable Gas and Fuel Cans,This recall involves Zimtown Portable “Jerry” style Gas and Fuel Cans with spout. The metal 5.0 gallon (20L) fuel cans come in red and army green. The cans have a white spout and yellow vent cap. The assembled product dimensions are 4.76 x 8.49 x 19.29 inches.,"The fuel containers violate the requirement for closures under the https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">Children’s Gasoline Burn Prevention Act because the closure is not child-resistant, posing a risk of burns and poisoning to children.",,,Refund,About 200,None reported,"Consumers should stop using the gas and fuel containers immediately and contact Fastbuy for a full refund. Consumers should disassemble the spout, cut it into pieces with scissors and dispose of it separately from the container. Consumers will be asked to write “RECALLED” on the container and submit photos of the product to ZimtownFuelCanrecall@outlook.com separately.",Sold Online At,Walmart.com and Zimtown.com from May 2026 through July 2026 for between $32 and $63.&nbsp;,,,,China,Retailer:,"Fastbuy Inc., dba Zimtown, of Metuchen, New Jersey&nbsp;"
26-699,,13-Aug-26,,SUGIFT Recalls SUGIFT Pressure Washers Due to Serious Risk of Injury or Death from Shock and Electrocution Hazards,"SUGIFT Electric Pressure Washers, Model LTBBHG006","This recall involves SUGIFT-branded pressure washers. The recalled, 2.8 GPM electric pressure washers are orange and black, and measure about 11.4 inches deep, 12.7 inches wide and 25.2 inches high. The pressure washers come with a touch screen, foam cannon, four quick disconnect nozzles, a 20-foot hose and two rollers. Labeling on the front of the pressure washer reads “High Pressure Washer”. The model number LTBBHG006 does not appear on the product but it was included in the Best Buy website listing.","The recalled pressure washers lack an integral ground-fault circuit-interrupter (GFCI) and, because the power cord is short, it may encourage use of an extension cord, posing serious risks of injury or death from shock and electrocution hazards.",,,Refund,13,None reported,Consumers should stop using the recalled pressure washers immediately and contact SUGIFT for a full refund. Consumers will be asked to destroy the pressure washer by cutting the power cord in half (the product should be completely turned off and unplugged from power outlet) and send a photo of the destroyed pressure washer to steven@sugift.net. Consumers should then dispose of the destroyed recalled product.,Sold Online At,bestbuy.com from July 2025 through July 2026 for about $155.,"SUGIFT, INC., of Albany, NY",,,China,,
26-698,,13-Aug-26,,CuberShop Magnetic Speed Cubes Recalled Due to Risk of Serious Injury or Death from Magnet Ingestion; Violate Mandatory Standard for Toys; Imported by SKY CUBE HK,"CuberShop Magnetic Stickerless Speed Cubes, model YJ MGC 5×5","This recall involves CuberShop’s Magnetic Stickerless Speed Cubes, model YJ MGC 5×5, listed under ASIN: B09B69Z797. The products are a handheld 5×5 mechanical puzzle cubes that consists of interlocking plastic pieces. The Speed Cubes have six colored sides and the “MGC” logo printed on the center of the cubes. The Speed Cubes come in a box with “MGC” and “5x5” printed on the sides of the box. The product’s packaging included spare magnets that were packaged separately in a sealed plastic bag.","The recalled magnetic cubes violate the https://www.ecfr.gov/current/title-16/chapter-II/subchapter-B/part-1250… lang=""EN-US"">mandatory standard for toys because the cubes were packaged with loose high-powered magnets, posing an ingestion hazard to children. When high-powered magnets are swallowed, the ingested magnets can attract each other, or other metal objects and become lodged in the digestive system. This can result in perforations, twisting, and/or blockage of the intestines, blood poisoning and death.",,,Refund,About 132,None reported,"Consumers should take the recalled loose magnets away from children, stop using them immediately, and contact SKY CUBE HK for information on how to receive a partial refund of $5. Consumers may keep the cube. Consumers will be asked to throw away the magnets and email a photo of the disposed magnets to recall@cubershop.com.",Sold Online At,Amazon.com from April 2025 through June 2025 for between $20 and $25.,"SKY CUBE HK, of China",,,China,,
26-697,,13-Aug-26,,Shengsen Prank Sound Makers Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violate Mandatory Standard for Consumer Products with Coin Batteries; Imported by Shengsen Toys,Shengsen Prank Sound Maker,This recall involves Shengsen Prank Sound Maker. The toys were sold in sets of three and come in yellow with a black push button. “SKU: &nbsp;AJ0192-Y—3” and “ASIN: B0CB9WV7XN” are printed on the product’s packaging.,"The recalled sound maker violates the mandatory safety standard for consumer products with button cell and coin batteries because the lithium coin batteries can be accessed easily by children, posing an ingestion hazard. Additionally, the packaging and product do not have the warnings required under https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN"">Reese’s Law. When button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns, and death.",,,Refund,About 667,None reported,Consumers should stop using the sound maker immediately and contact Shengsen Toys for a full refund. Consumers will be asked to properly dispose of the sound maker into the trash and send a photo of the disposed product to ywpower@outlook.com.&nbsp;Note: Button cell and coin batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures. &nbsp;,Sold Online At,Amazon.com from April 2024 through April 2026 for about $8.,,,"Yiwushishengsengongyipinyouxiangongsi, dba Shengsen Toys, of China",China,,
26-696,,13-Aug-26,,Ritchey Design Recalls Carbon Bicycle Forks Due to Risk of Serious Injury or Death from Fall and Crash Hazards,Ritchey Carbon Fiber Bicycle Forks,"This recall involves Ritchey Carbon Fiber Bicycle Forks with a crown hole. The fork fits on the front of the bicycle to hold the front wheel in place. The fork is sold individually and with certain Ritchey bicycle framesets. The framesets were sold as Montebello (Hot sauce color), Septimer (Black &amp; White color) and Outback (Aurora and Winter Sage color). The individual black carbon forks were sold as WCS Carbon Mountain Adventure Fork, WCS Carbon Brevet Road Fork, WCS Carbon Adventure Gravel Fork and WCS Carbon Tapered Adventure Gravel Fork. The brand name “Ritchey” is located on the fork.","The alloy insert located in the front crown hole of the carbon fork can come loose, causing an accessory to fall off and land on the bike's front wheel, posing a risk of serious injury or death from a fall and crash hazard.",,,Repair,About 775,The firm has received one report of the alloy insert in the crown hole coming loose. No injuries have been reported.,Consumers are asked to stop using the bicycles equipped with the recalled fork immediately. Please inspect the front crown hole for any attached racks or accessories. The threaded hole located above the front wheel should be closed immediately. Consumers should register at https://ritcheylogic.com/support/recall to receive a free Ritchey Fork Crown Hole Closure Kit with instructions. All carbon bicycle forks with crown mounting holes are included in the recall.&nbsp;&nbsp;,Sold At,"Performance Bike, Chico CA, Adrenaline Bikes, Orange CA, Excel Sports Boulder, Boulder, CO and other bicycle retailers nationwide and on-line including ritcheylogic.com from July 2024 through June 2026 for between $660 and $700 (individual carbon bicycle fork) and between $1,760 and $3,500 (bike frames with carbon bicycle forks).","Ritchey Design, of Reno, Nevada",,,Taiwan,,
